Registration Option,MIST ID,Category I: Knowledge and Quran,Category II: Arts,Category III: Writing and Oratory,Category IV: Brackets,Category V: Group Projects,Category VI: Sports,Category VII: eSports
Competitor,KHPIY-Q6P5S,Quran Recitation - Male,,,MIST Quiz Bowl,,**Soccer [DC]** - Male (waitlisted),**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,WICQP-T9UVN,,,Poetry,,,,
Competitor,QFMGE-PWWSO,Knowledge Test 1,,,,,Basketball - Male,**NBA 2K (DC) **
Competitor,QFMGE-ZCJ1O,Quran Memorization - Level 1 - Female,,Extemporaneous Essay,MIST Quiz Bowl,Social Media,,
Competitor,QFMGE-9POPO,,**Culinary Arts [2 max]**,,MIST Quiz Bowl,,,
Competitor,QFMGE-43RBZ,,,Short Fiction,,,Basketball - Male,**NBA 2K (DC) **
Competitor,QFMGE-KQRM7,Quran Memorization - Level 3 - Female,Photography,Short Fiction,MIST Quiz Bowl,Social Media,,
Competitor,QFMGE-Q0H26,,,,MIST Quiz Bowl,,,
Competitor,QFMGE-UG5NW,,,,Math Olympics,,Basketball - Male,
Competitor,QFMGE-Q3JO4,Quran Recitation - Male,,,Math Olympics,,Basketball - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,QFMGE-SQWW2,,**Culinary Arts [2 max]**,,MIST Quiz Bowl,,,
Competitor,QFMGE-AZ3TO,,Digital Art,,,,Basketball - Male,
Competitor,QFMGE-7ME4W,Quran Memorization - Level 3 - Male,,,,,Basketball - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,QFMGE-19GYD,Knowledge Test 1,,Extemporaneous Essay,MIST Quiz Bowl,,,
Competitor,QFMGE-HSNYR,Knowledge Test 1,,,,,Basketball - Male,**Chess[DC]**
Competitor,W1J0G-FQJUO,,,,MIST Quiz Bowl,Social Media,,
Competitor,W1J0G-I6CIM,,,,Improv - Female,Nasheed/Rap - Female,,
Competitor,W1J0G-9IXTP,,,,Improv - Female,Nasheed/Rap - Female,,
Competitor,W1J0G-38FT2,,,,MIST Quiz Bowl,Social Media,,
Competitor,W1J0G-DM0IC,,,,Improv - Female,Nasheed/Rap - Female,,
Competitor,W1J0G-1AMY4,,,,Improv - Male,Social Media,,
Competitor,W1J0G-826TB,Knowledge Test 1,**Culinary Arts [2 max]**,,Improv - Female,Social Media,,
Competitor,YFNXQ-MB499,,Fashion Design,,,,,
Competitor,YFNXQ-K45B2,Quran Memorization - Level 1 - Female,,,MIST Quiz Bowl,Short Film,,
Competitor,YFNXQ-NTK25,Quran Memorization - Level 2 - Female,**Scrapbook - DC**,,MIST Quiz Bowl,Short Film,,
Competitor,YFNXQ-QEBFH,,2D Art,,,Short Film,,
Competitor,YFNXQ-TGFUS,,2D Art,,MIST Quiz Bowl,,,**Chess[DC]**
Competitor,YFNXQ-EQ1ON,,**Scrapbook - DC**,,,Short Film,,
Competitor,YFNXQ-U9DJ6,Knowledge Test 3,,Extemporaneous Speaking,Math Olympics,Science Fair,,
Competitor,YFNXQ-E18F6,,,,MIST Quiz Bowl,Short Film,,
Competitor,YFNXQ-ZR7L4,,,,MIST Quiz Bowl,,,
Competitor,YFNXQ-8BR54,,,Extemporaneous Speaking,Improv - Female,,,
Competitor,YFNXQ-8J4PH,Knowledge Test 1,,,Improv - Female,,,
Competitor,YFNXQ-WYNV1,,,,MIST Quiz Bowl,Short Film,,
Competitor,YFNXQ-ABUIR,Knowledge Test 1,,,,,,
Competitor,YFNXQ-0BMKO,,**Culinary Arts [2 max]**,,,,,
Competitor,YFNXQ-9KG5Z,Knowledge Test 1,,,,,,
Competitor,CUMBQ-INJ1F,,,,Improv - Female,,Basketball - Female,
Competitor,YEL9T-3N5CW,,,,Improv - Female,Short Film,,**Super Smash Bros - Singles (DC)**
Competitor,YEL9T-WOOK9,,2D Art,Poetry,,Short Film,,
Competitor,Y0J9Q-3RTHX,Quran Memorization - Level 3 - Female,3D Art,,Improv - Female,Short Film,Basketball - Female,
Competitor,YEL9T-X2U89,Knowledge Test 3,2D Art,Original Oratory,MIST Quiz Bowl,Short Film,,
Competitor,ZYCBV-WTHRE,Quran Recitation - Male,,,MIST Quiz Bowl,,,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,ZYCBV-JIPS2,,,,,Business Venture,,
Competitor,ZYCBV-OW1KP,,,Prepared Essay,Math Olympics,Science Fair,,
Competitor,ZYCBV-J5SDA,,,,,Social Media,,
Competitor,V7K3K-91DTZ,,,,Debate,,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,ZYCBV-I8S5C,,Fashion Design,,,,,
Competitor,ZYCBV-VX1D5,,,,,,,
Competitor,ZYCBV-903GV,,,,MIST Quiz Bowl,,,
