Registration Option,MIST ID,Category I: Knowledge and Quran,Category II: Arts,Category III: Writing and Oratory,Category IV: Brackets,Category V: Group Projects,Category VI: Sports,Category VII: eSports
Competitor,1NO4P-K52YL,,,,Improv - Male,,**Soccer [DC]** - Male,
Competitor,R9926-NVZ0O,Knowledge Test 1,,,,,**Soccer [DC]** - Male,
Competitor,VJ2GK-SDAC1,Knowledge Test 1,,,,,,
Competitor,VJ2GK-PZFVG,Knowledge Test 2,,,,,,
Competitor,VJ2GK-OVQU5,,2D Art,,,,,
Competitor,VJ2GK-OLTRG,,,,,Nasheed/Rap - Male,,
Competitor,VJ2GK-HMG8Z,,,,Improv - Male,Nasheed/Rap - Male,,
Competitor,VJ2GK-XYFIG,,,,,Nasheed/Rap - Male,,
Competitor,VJ2GK-28RD8,Knowledge Test 2,,,,Nasheed/Rap - Male,Basketball - Male,**NBA 2K (DC) **
Competitor,VJ2GK-8G3TP,,,,Math Olympics,Nasheed/Rap - Male,Basketball - Male,
Competitor,VJ2GK-GKUL2,,Digital Art,Prepared Essay,MIST Quiz Bowl,,,
Competitor,VJ2GK-78QNA,,,Extemporaneous Essay,Improv - Male,,,
Competitor,JW7VO-1DN8G,Quran Memorization - Level 2 - Male,Photography,,Improv - Male,Short Film,**Soccer [DC]** - Male,
Competitor,VJ2GK-E2U36,,,,,Short Film,Basketball - Male,
Competitor,VJ2GK-OJWNR,,,,MIST Quiz Bowl,,,
Competitor,VJ2GK-4AOTW,Knowledge Test 1,Photography,,,,,
Competitor,VJ2GK-NX7LJ,,,,Improv - Male,,Basketball - Male,
Competitor,VJ2GK-83RQX,,Digital Art,,,,Basketball - Male,
Competitor,V7K3K-6PPXK,,Digital Art,,MIST Quiz Bowl,,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,EXIMZ-J0V0O,,,,Improv - Male,,**Soccer [DC]** - Male,
Competitor,VJ2GK-EN617,,Fashion Design,,Math Olympics,,,
Competitor,VJ2GK-CBPLK,,3D Art,,MIST Quiz Bowl,,,
Competitor,VJ2GK-8T8CB,Knowledge Test 2,,,,Social Media,,
Competitor,Z8W5E-6DF55,,Photography,,MIST Quiz Bowl,Business Venture,Basketball - Female,
Competitor,51M64-SPWLQ,,**Culinary Arts [2 max]**,,,Business Venture,Basketball - Female,
Competitor,VJ2GK-ORQ0T,,Photography,,,,,
Competitor,VJ2GK-EAX7C,Knowledge Test 1,,,,,,
Competitor,VJ2GK-OA7FK,,,,MIST Quiz Bowl,,,
Competitor,VJ2GK-N7TK6,,,Extemporaneous Speaking,,,Basketball - Male,
Competitor,VJ2GK-9EG3V,,,,,Social Media,,
Competitor,SIG90-8SY4A,,,,MIST Quiz Bowl,Short Film,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,VJ2GK-HWD5V,,,,Improv - Male,,Basketball - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,IVQS5-L0VLP,Quran Recitation - Female,Fashion Design,,,,,
Competitor,XPGA8-WJXCI,Knowledge Test 3,,,,,,
Competitor,XPGA8-6X88E,,2D Art,Prepared Essay,,,,
Competitor,A85Q9-778T4,,,,MIST Quiz Bowl,,,
Competitor,VJ2GK-O6IQ3,Knowledge Test 3,,,,,**Soccer [DC]** - Male,
Competitor,A85Q9-4FC9B,Quran Memorization - Level 2 - Male,,,,,Basketball - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,A85Q9-OSB9C,,,,MIST Quiz Bowl,,,**NBA 2K (DC) **
Competitor,A85Q9-CGXK4,,,,MIST Quiz Bowl,,Basketball - Male,
Competitor,A85Q9-EWQDX,Knowledge Test 1,,,,,Basketball - Male,**NBA 2K (DC) **
